$DOS,AIRDOS04C,2.0.0-0-User,0,a3e25b543d4de5dc3d0544625b6109b33db2b44b,User,0112310834100851f50ba080a08002b6
$DIG,BATDATUNIT01B,1470c00806c200949c49a000a00d009c,7844
$ADC,USTSIPIN03A,0950710874100851f80aa0c0a08000b6,ffff
$START,0,0
$E,2919,6
$E,21317,20
$E,27782,4
$E,53320,4
$STOP,0,35111887.54,12638,4,17527,7,1,4
$START,1,13018
$E,4657,6
$E,23198,126
$E,49094,4
$E,50788,359
$E,62497,7
$E,64689,14
$E,66856,17
$E,71255,28
$E,73251,56
$E,73426,38
$STOP,1,35111897.59,25706,10,18048,8,0,8
$START,2,26147
$E,5687,31
$E,5693,19
$E,5704,12
$E,9430,56
$E,11478,95
$E,39974,19
$STOP,2,35111907.66,38801,6,17387,10,0,16
$START,3,39244
$E,30423,5
$E,33396,4
$E,39631,7
$E,41396,4
$E,52783,4
$STOP,3,35111917.73,51891,5,17402,8,1,3
$START,4,52283
$E,3186,6
$E,3199,4
$E,3211,7
$E,3215,15
$E,3219,12
$E,3224,8
$E,4510,7
$E,4514,11
$E,4536,12
$E,4973,6
$E,20204,6
$E,49359,4
$STOP,4,35111927.78,64978,12,17944,12,1,11
$START,5,166
$E,13483,6
$E,38510,28
$E,38557,38
$E,38572,51
$E,38578,33
$E,38605,39
$E,38612,31
$E,38670,54
$E,38673,44
$E,38690,32
$E,38697,35
$E,38701,6
$E,38704,38
$E,38708,7
$E,38711,48
$E,38737,40
$E,38744,39
$E,38751,33
$E,38758,37
$E,38764,33
$E,38771,40
$E,38778,33
$E,38785,44
$E,38791,31
$E,38930,44
$E,39101,37
$E,39107,30
$E,39122,24
$E,39128,7
$E,39178,38
$E,39218,38
$E,39304,41
$E,39310,9
$E,39700,31
$E,39706,39
$E,39713,49
$E,39719,30
$E,39725,32
$E,39775,41
$E,39779,9
$E,39796,32
$E,39803,39
$E,39809,39
$E,39815,43
$E,39899,35
$E,39994,31
$E,40026,28
$E,40641,31
$E,40647,38
$E,41058,39
$E,41065,31
$E,41072,27
$E,41361,48
$E,41741,46
$E,47232,19
$E,47251,12
$E,47290,7
$E,47340,17
$E,47874,29
$E,48161,36
$E,48562,30
$E,48675,25
$E,48877,15
$E,49277,4
$E,49395,6
$E,49598,11
$E,49602,7
$E,49963,12
$STOP,5,35111937.89,13654,68,18003,16,1,14
$START,6,14698
$E,8473,7
$E,9825,7
$E,14610,6
$E,22736,8
$E,22740,14
$E,23752,8
$E,60132,6
$STOP,6,35111948.14,27358,7,18359,13,1,6
$START,7,27756
$E,29068,4
$STOP,7,35111958.20,40378,1,18070,16,3,1
$START,8,40762
$E,2854,7
$E,9972,7
$E,13614,99
$E,35670,6
$E,43502,7
$E,62614,4
$E,67658,407
$STOP,8,35111968.25,53417,7,18442,5,2,5
$START,9,53813
$E,13090,39
$E,56078,7
$E,74055,7
$STOP,9,35111978.31,912,3,18035,7,0,4
$START,10,1273
$E,19106,7
$E,71531,7
$E,75322,6
$STOP,10,35111988.36,13907,3,17929,13,3,7
$START,11,14271
$E,49400,1411
$STOP,11,35111998.42,26891,1,17869,8,0,4
$START,12,27241
$E,28131,128
$E,65836,39
$E,76151,4
$STOP,12,35112008.46,39877,3,17904,4,2,6
$START,13,40278
$E,19248,4
$E,65558,7
$E,77162,6
$STOP,13,35112018.52,52913,3,18207,11,2,3
$START,14,53277
$E,64320,6
$E,68043,193
$STOP,14,35112028.57,367,2,18467,9,1,13
$START,15,721
$E,22942,111
$E,23371,8
$E,46335,233
$STOP,15,35112038.62,13353,3,18335,10,1,5
$START,16,13717
$E,33754,4
$E,55139,4
$E,69073,6
$STOP,16,35112048.67,26352,3,17953,9,1,7
$START,17,26716
$E,8218,6
$E,19896,342
$E,25900,83
$E,54336,67
$STOP,17,35112058.73,39359,4,18116,6,0,2
$START,18,39768
$E,1164,15
$E,32313,370
$E,35062,4
$E,37984,4
$E,60765,195
$E,73586,32
$E,76274,104
$STOP,18,35112068.79,52428,7,18043,7,1,11
$START,19,52966
$E,39889,70
$E,48486,65
$E,72377,6
$E,74787,167
$STOP,19,35112078.86,68,4,17826,7,2,4
$START,20,438
$E,10451,4
$E,22862,7
$E,65107,6
$STOP,20,35112088.92,13072,3,17730,10,1,3
$START,21,13435
$E,22618,4
$E,52228,6
$STOP,21,35112098.97,26063,2,17713,10,0,4
$START,22,26419
$E,16678,466
$E,55622,44
$STOP,22,35112109.2,39047,2,17485,9,2,11
$START,23,39440
$E,14256,51
$STOP,23,35112119.8,52061,1,17760,6,2,5
$START,24,52446
$E,30945,5
$E,65843,4
$STOP,24,35112129.13,65074,2,17790,5,1,8
$START,25,6
$E,6365,5
$E,30863,7
$E,52689,48
$E,58164,7
$STOP,25,35112139.19,12645,4,17959,11,4,3
$START,26,13166
$E,3077,6
$E,32120,4
$E,35096,4
$E,42569,348
$E,47362,7
$E,55949,6
$E,67598,513
$STOP,26,35112149.27,25824,7,18009,6,0,4
$START,27,26250
$E,1782,7
$E,4660,443
$E,23460,6
$E,26888,6
$E,60263,146
$E,62252,6
$E,66435,12
$E,71285,4
$E,71404,15
$E,72831,4
$E,74349,4
$E,76774,6
$STOP,27,35112159.33,38953,12,18299,13,2,13
$START,28,39534
$E,13380,6
$E,43252,7
$E,67297,87
$E,69462,6
$E,72489,5
$STOP,28,35112169.42,52182,5,18080,8,0,5
$START,29,52590
$E,2113,4
$E,42337,371
$E,45270,12
$E,46550,24
$E,66554,25
$STOP,29,35112179.48,65240,5,18168,21,3,5
$ENV,29,35112179.54,23.2,57.1,23.7,54.7,23.05,971.44
$START,30,711
$E,418,6
$E,14923,279
$E,24169,120
$E,33945,4
$E,63899,4
$E,64360,6
$E,69089,236
